shape,Cin,Cout,H,W,freq,precision,gn_base,gn_modiff,conv_base,conv_modiff,a_hat_ms,o_hat_ms,modiff_total_ms,base_total_ms,a_hat_pct,o_hat_pct,block_ratio
"384->384,4x4",384,384,4,4,1,W4A4,0.014104800205677748,0.024979800172150134,0.02218100018799305,0.026539599895477294,0.010874999966472386,0.0043585997074842425,0.051519400067627424,0.0362858003936708,21.10855319005504,8.460113475240172,1.4198226168000905
"384->768,4x4",384,768,4,4,1,W8A8,0.013410599995404482,0.025283599644899367,0.07730799987912178,0.08337900042533875,0.011872999649494885,0.0060710005462169675,0.10866260007023812,0.09071859987452625,10.926482195180615,5.587019399768411,1.197798469338486
"384->768,4x4",384,768,4,4,1,W4A4,0.014104800205677748,0.024979800172150134,0.040140200033783914,0.04361100047826767,0.010874999966472386,0.0034708004444837584,0.06859080065041781,0.05424500023946166,15.854895792656334,5.06015443991266,1.2644630905636902
"1152->768,4x4",1152,768,4,4,1,W8A8,0.027220200188457964,0.06013559997081756,0.20600760281085967,0.2107245996594429,0.0329153997823596,0.0047169968485832325,0.2708601996302605,0.23322780299931764,12.15217290221708,1.741487621666897,1.1613546761877827
"1152->768,4x4",1152,768,4,4,1,W4A4,0.026952800154685975,0.0580816000699997,0.10408359915018081,0.10658699944615364,0.031128799915313723,0.0025034002959728324,0.16466859951615334,0.1310363993048668,18.903907610060234,1.5202657357435403,1.2566630370622327
"768->768,8x8",768,768,8,8,1,W8A8,0.058384399861097336,0.1490347981452942,0.3698440045118332,0.38401500284671786,0.09065039828419685,0.014170998334884666,0.533049800992012,0.4282284043729305,17.00599045633173,2.6584754948810163,1.2447791775339496
"768->768,8x8",768,768,8,8,1,W4A4,0.058987199887633325,0.14398359954357148,0.18379639834165573,0.19191060066223145,0.08499639965593817,0.00811420232057572,0.33589420020580296,0.24278359822928905,25.3045154110612,2.4157018238493353,1.3835127358503791
"1152->384,8x8",1152,384,8,8,1,W8A8,0.08797779977321625,0.19156599938869476,0.31418739855289457,0.32158400416374205,0.10358819961547851,0.007396605610847484,0.5131500035524368,0.4021651983261108,20.1867288119181,1.441411976935055,1.275968198362927
"1152->384,8x8",1152,384,8,8,1,W4A4,0.08860959932208061,0.1848579987883568,0.15816100239753722,0.16222720146179198,0.09624839946627618,0.004066199064254761,0.3470852002501488,0.24677060171961784,27.730482140093766,1.171527642585797,1.4065095186845187
"576->384,16x16",576,384,16,16,1,W8A8,0.18469919711351396,0.3515050023794174,0.6257404029369354,0.6468142032623291,0.16680580526590344,0.021073800325393632,0.9983192056417465,0.8104396000504495,16.708664355372807,2.1109280685276235,1.231824315568491
"576->384,16x16",576,384,16,16,1,W4A4,0.18796280175447463,0.33867219686508176,0.32392520010471343,0.3328412026166916,0.15070939511060713,0.00891600251197816,0.6715133994817734,0.511888001859188,22.443244651099146,1.3277475205794704,1.3118365678484796
"384->384,32x32",384,384,32,32,1,W8A8,0.5464897990226746,0.8259277939796448,1.4982614040374755,1.5884737968444824,0.2794379949569702,0.09021239280700688,2.414401590824127,2.0447512030601502,11.573799322323481,3.736428651714645,1.1807801297344942
